Name	ORF	Link	Annotation	Growth Rate Slope	Bootstrapped p-value of slope	R^2	Growth Rate Response @1.5SD	ESR	Calibration gene?	Bootstrapped p-value of R^2	p-value of R^2	Growth Rate Baseline	Variability	Bootstrapped p-value of variability	Unresponsive?
YPR116W	YPR116W	YPR116W	biological process unknown || molecular function unknown || YPR116W || 1083428	-0.18	8.93E-01	0.00				8.16E-01	7.92E-01	0.25	0.29	1.57E-02	
HIR2	YOR038C	YOR038C	regulation of transcription from RNA polymerase II promoter || transcription corepressor activity || YOR038C || 1085876	-0.18	8.94E-01	0.01				6.00E-01	5.56E-01	0.11	0.11	0.00E+00	yes
SLX1	YBR228W	YBR228W	DNA repair* || 5'-flap endonuclease activity || YBR228W || 1085738	-0.18	8.97E-01	0.00				7.94E-01	7.67E-01	0.34	0.21	1.00E-04	
CCT2	YIL142W	YIL142W	protein folding* || unfolded protein binding || YIL142W || 1081546	-0.18	8.97E-01	0.00				7.84E-01	7.56E-01	0.14	0.21	1.00E-04	
NAT4	YMR069W	YMR069W	protein amino acid acetylation || peptide alpha-N-acetyltransferase activity || YMR069W || 1083189	-0.18	8.98E-01	0.00				8.93E-01	8.79E-01	0.31	0.44	5.48E-01	
SSF2	YDR312W	YDR312W	ribosomal large subunit assembly and maintenance* || rRNA binding || YDR312W || 1085211	-0.18	8.99E-01	0.01		down		6.96E-01	6.61E-01	0.02	0.15	0.00E+00	yes
YNL168C	YNL168C	YNL168C	biological process unknown || molecular function unknown || YNL168C || 1085744	-0.17	9.00E-01	0.00				8.23E-01	8.00E-01	0.51	0.26	2.70E-03	
PAT1	YCR077C	YCR077C	chromosome segregation* || molecular function unknown || YCR077C || 1084687	-0.17	9.00E-01	0.00				7.92E-01	7.65E-01	0.30	0.19	0.00E+00	yes
ANP1	YEL036C	YEL036C	protein amino acid N-linked glycosylation || mannosyltransferase activity* || YEL036C || 1082890	-0.17	9.01E-01	0.00				8.06E-01	7.81E-01	-0.38	0.24	8.00E-04	
CUE3	YGL110C	YGL110C	biological process unknown || molecular function unknown || YGL110C || 1081736	-0.17	9.01E-01	0.01				6.55E-01	6.15E-01	0.00	0.12	0.00E+00	yes
YPR097W	YPR097W	YPR097W	biological process unknown || molecular function unknown || YPR097W || 1086686	-0.17	9.02E-01	0.00				7.75E-01	7.47E-01	0.02	0.22	2.00E-04	
HAP2	YGL237C	YGL237C	transcription* || transcriptional activator activity || YGL237C || 1081034	-0.17	9.02E-01	0.00				7.78E-01	7.50E-01	-0.24	0.20	0.00E+00	yes
AUA1	YFL010W-A	YFL010W-A	amino acid transport || molecular function unknown || YFL010W-A || 1081628	-0.17	9.02E-01	0.00				8.62E-01	8.43E-01	0.60	0.32	6.50E-02	
CNM67	YNL225C	YNL225C	microtubule nucleation* || structural constituent of cytoskeleton || YNL225C || 1083186	-0.17	9.04E-01	0.00				8.82E-01	8.66E-01	0.19	0.42	4.27E-01	
PRM8	YGL053W	YGL053W	conjugation with cellular fusion || molecular function unknown || YGL053W || 1085826	-0.16	9.05E-01	0.00				8.19E-01	7.96E-01	0.37	0.26	4.40E-03	
UPF3	YGR072W	YGR072W	mRNA catabolism* || molecular function unknown || YGR072W || 1083750	-0.16	9.05E-01	0.01				7.11E-01	6.78E-01	0.03	0.14	0.00E+00	yes
MYO5	YMR109W	YMR109W	cell wall organization and biogenesis* || microfilament motor activity || YMR109W || 1083203	-0.16	9.07E-01	0.00				8.41E-01	8.20E-01	-0.02	0.28	1.33E-02	
TAF10	YDR167W	YDR167W	transcription initiation from RNA polymerase II promoter* || general RNA polymerase II transcription factor activity || YDR167W || 1082908	-0.16	9.07E-01	0.00				7.71E-01	7.43E-01	0.00	0.19	0.00E+00	yes
VMA8	YEL051W	YEL051W	"vacuolar acidification || hydrogen-transporting ATPase activity, rotational mechanism || YEL051W || 1086671"	-0.16	9.08E-01	0.00				8.39E-01	8.18E-01	0.31	0.26	4.60E-03	
PUT3	YKL015W	YKL015W	positive regulation of transcription from RNA polymerase II promoter* || specific RNA polymerase II transcription factor activity || YKL015W || 1086101	-0.16	9.08E-01	0.00				7.70E-01	7.41E-01	0.01	0.18	0.00E+00	yes
YKL225W	YKL225W	YKL225W	|| || YKL225W || 1080746	-0.16	9.08E-01	0.00				9.05E-01	8.93E-01	-0.31	0.42	4.61E-01	
SLD3	YGL113W	YGL113W	DNA replication initiation* || chromatin binding || YGL113W || 1085134	-0.16	9.08E-01	0.01				6.47E-01	6.07E-01	-0.13	0.12	0.00E+00	yes
SCM4	YGR049W	YGR049W	cell cycle || molecular function unknown || YGR049W || 1085248	-0.16	9.09E-01	0.00				7.84E-01	7.57E-01	0.09	0.20	0.00E+00	yes
NAM2	YLR382C	YLR382C	Group I intron splicing* || mRNA binding* || YLR382C || 1082001	-0.16	9.10E-01	0.00				8.47E-01	8.28E-01	-0.31	0.31	3.21E-02	
CDC27	YBL084C	YBL084C	mitotic sister chromatid segregation* || protein binding* || YBL084C || 1081994	-0.15	9.11E-01	0.00				7.79E-01	7.51E-01	0.23	0.19	0.00E+00	yes
YAR1	YPL239W	YPL239W	response to osmotic stress* || molecular function unknown || YPL239W || 1081400	-0.15	9.11E-01	0.00				8.13E-01	7.89E-01	-0.01	0.21	0.00E+00	yes
YAP1801	YHR161C	YHR161C	endocytosis || clathrin binding || YHR161C || 1082031	-0.15	9.12E-01	0.00				8.07E-01	7.82E-01	-0.22	0.21	1.00E-04	
TCB2	YNL087W	YNL087W	biological process unknown || molecular function unknown || YNL087W || 1085188	-0.15	9.13E-01	0.00				9.00E-01	8.87E-01	0.05	0.42	4.33E-01	
YEL025C	YEL025C	YEL025C	biological process unknown || molecular function unknown || YEL025C || 1081080	-0.15	9.14E-01	0.01				5.47E-01	4.99E-01	0.07	0.08	0.00E+00	yes
BEM3	YPL115C	YPL115C	establishment of cell polarity (sensu Fungi)* || signal transducer activity* || YPL115C || 1082266	-0.15	9.15E-01	0.00				8.36E-01	8.15E-01	-0.08	0.25	1.90E-03	
DAD4	YDR320C-A	YDR320C-A	mitotic spindle organization and biogenesis in nucleus* || protein binding || YDR320C-A || 1084803	-0.15	9.15E-01	0.00				8.73E-01	8.56E-01	0.45	0.31	4.57E-02	
YOR093C	YOR093C	YOR093C	biological process unknown || molecular function unknown || YOR093C || 1083876	-0.15	9.15E-01	0.00				8.01E-01	7.76E-01	0.15	0.20	0.00E+00	yes
TIR2	YOR010C	YOR010C	response to stress || molecular function unknown || YOR010C || 1084078	-0.14	9.16E-01	0.00				9.12E-01	9.00E-01	-0.16	0.44	5.70E-01	
VPS54	YDR027C	YDR027C	Golgi to vacuole transport* || molecular function unknown || YDR027C || 1082951	-0.14	9.16E-01	0.00				7.96E-01	7.69E-01	0.07	0.19	0.00E+00	yes
RPN14	YGL004C	YGL004C	proteolysis and peptidolysis || endopeptidase activity || YGL004C || 1084658	-0.14	9.16E-01	0.01				6.73E-01	6.35E-01	-0.06	0.12	0.00E+00	yes
YJL119C	YJL119C	YJL119C	|| || YJL119C || 1083888	-0.14	9.17E-01	0.00				9.46E-01	9.39E-01	0.27	0.72	9.97E-01	
ASM4	YDL088C	YDL088C	mRNA-nucleus export* || structural molecule activity || YDL088C || 1083551	-0.14	9.17E-01	0.00				7.93E-01	7.66E-01	0.00	0.16	0.00E+00	yes
BEM4	YPL161C	YPL161C	establishment of cell polarity (sensu Fungi)* || molecular function unknown || YPL161C || 1081102	-0.14	9.18E-01	0.00				7.59E-01	7.28E-01	0.23	0.17	0.00E+00	yes
AI3	Q0060	Q0060	biological process unknown || endonuclease activity || Q0060 || 1086421	-0.14	9.18E-01	0.00				9.20E-01	9.09E-01	-0.49	0.48	7.10E-01	
IZH1	YDR492W	YDR492W	lipid metabolism* || metal ion binding || YDR492W || 1086044	-0.14	9.18E-01	0.00				9.06E-01	8.94E-01	-0.23	0.44	5.47E-01	
YJR157W	YJR157W	YJR157W	|| || YJR157W || 1084835	-0.14	9.19E-01	0.00				8.97E-01	8.83E-01	0.05	0.34	1.09E-01	
YGL160W	YGL160W	YGL160W	biological process unknown || oxidoreductase activity || YGL160W || 1086811	-0.14	9.19E-01	0.00				8.19E-01	7.95E-01	-0.16	0.20	0.00E+00	yes
FLO5	YHR211W	YHR211W	flocculation (sensu Saccharomyces) || mannose binding || YHR211W || 1084069	-0.14	9.20E-01	0.00				9.30E-01	9.20E-01	0.46	0.53	8.72E-01	
DIN7	YDR263C	YDR263C	DNA repair || nuclease activity || YDR263C || 1085555	-0.14	9.20E-01	0.00				9.02E-01	8.90E-01	0.18	0.42	4.42E-01	
YLL025W	YLL025W	YLL025W	biological process unknown || molecular function unknown || YLL025W || 1083454	-0.14	9.21E-01	0.00				9.36E-01	9.27E-01	0.33	0.58	9.45E-01	
KIN4	YOR233W	YOR233W	biological process unknown || protein kinase activity || YOR233W || 1083916	-0.14	9.21E-01	0.00		down		8.70E-01	8.52E-01	-0.02	0.26	2.90E-03	
TOF2	YKR010C	YKR010C	DNA topological change || molecular function unknown || YKR010C || 1083873	-0.13	9.23E-01	0.00				7.81E-01	7.54E-01	-0.02	0.16	0.00E+00	yes
MED1	YPR070W	YPR070W	transcription from RNA polymerase II promoter || RNA polymerase II transcription mediator activity || YPR070W || 1081967	-0.13	9.23E-01	0.00				8.39E-01	8.18E-01	0.03	0.23	4.00E-04	
HPC2	YBR215W	YBR215W	G1/S-specific transcription in mitotic cell cycle || transcription regulator activity || YBR215W || 1086565	-0.13	9.23E-01	0.00				7.75E-01	7.46E-01	-0.02	0.14	0.00E+00	yes
JJJ1	YNL227C	YNL227C	endocytosis || molecular function unknown || YNL227C || 1082478	-0.13	9.23E-01	0.00		down		8.22E-01	7.99E-01	0.16	0.18	0.00E+00	yes
MSP1	YGR028W	YGR028W	protein-mitochondrial targeting || ATPase activity || YGR028W || 1081855	-0.13	9.23E-01	0.00				8.05E-01	7.80E-01	0.30	0.18	0.00E+00	yes
PKC1	YBL105C	YBL105C	cell wall organization and biogenesis* || protein kinase C activity || YBL105C || 1082629	-0.13	9.23E-01	0.00				7.21E-01	6.88E-01	-0.02	0.13	0.00E+00	yes
YDR314C	YDR314C	YDR314C	biological process unknown || molecular function unknown || YDR314C || 1081594	-0.13	9.24E-01	0.00				8.35E-01	8.14E-01	0.10	0.22	2.00E-04	
SSY1	YDR160W	YDR160W	sensory perception of chemical stimulus || amino acid binding || YDR160W || 1084932	-0.13	9.25E-01	0.00				7.28E-01	6.95E-01	0.05	0.14	0.00E+00	yes
VPS53	YJL029C	YJL029C	Golgi to vacuole transport* || protein binding || YJL029C || 1085902	-0.13	9.25E-01	0.00				8.07E-01	7.82E-01	0.05	0.18	0.00E+00	yes
SNF5	YBR289W	YBR289W	chromatin remodeling || general RNA polymerase II transcription factor activity || YBR289W || 1086284	-0.13	9.26E-01	0.00				8.84E-01	8.69E-01	0.25	0.26	4.50E-03	
BGL2	YGR282C	YGR282C	"cell wall organization and biogenesis || glucan 1,3-beta-glucosidase activity || YGR282C || 1085206"	-0.13	9.26E-01	0.00				8.36E-01	8.15E-01	-0.19	0.20	0.00E+00	yes
ACN9	YDR511W	YDR511W	gluconeogenesis* || molecular function unknown || YDR511W || 1081302	-0.12	9.28E-01	0.00				8.97E-01	8.84E-01	-0.36	0.34	1.00E-01	
DIS3	YOL021C	YOL021C	35S primary transcript processing* || 3'-5'-exoribonuclease activity || YOL021C || 1085556	-0.12	9.28E-01	0.00				7.42E-01	7.11E-01	0.09	0.12	0.00E+00	yes
PHO2	YDL106C	YDL106C	transcription* || transcription factor activity || YDL106C || 1086777	-0.12	9.29E-01	0.01				6.88E-01	6.51E-01	0.22	0.10	0.00E+00	yes
RPL42B	YHR141C	YHR141C	protein biosynthesis || structural constituent of ribosome || YHR141C || 1080839	-0.12	9.29E-01	0.00		down		8.85E-01	8.70E-01	0.32	0.28	1.00E-02	
SKI3	YPR189W	YPR189W	mRNA catabolism* || translation repressor activity || YPR189W || 1081518	-0.12	9.31E-01	0.00				8.51E-01	8.31E-01	0.21	0.22	1.00E-04	
YDL146W	YDL146W	YDL146W	biological process unknown || molecular function unknown || YDL146W || 1085731	-0.12	9.31E-01	0.00				8.86E-01	8.70E-01	0.34	0.25	1.90E-03	
COX19	YLL018C-A	YLL018C-A	cytochrome c oxidase complex assembly* || metal ion transporter activity || YLL018C-A || 1081196	-0.12	9.32E-01	0.00				9.15E-01	9.03E-01	-0.44	0.38	2.70E-01	
LAP3	YNL239W	YNL239W	response to antibiotic || transcription regulator activity* || YNL239W || 1082265	-0.12	9.33E-01	0.00				9.03E-01	8.90E-01	0.22	0.32	6.29E-02	
CEP3	YMR168C	YMR168C	mitotic spindle checkpoint || DNA bending activity* || YMR168C || 1085607	-0.11	9.33E-01	0.00				8.07E-01	7.82E-01	0.01	0.17	0.00E+00	yes
ALG1	YBR110W	YBR110W	"protein amino acid N-linked glycosylation* || beta-1,4-mannosyltransferase activity || YBR110W || 1080847"	-0.11	9.34E-01	0.00				9.03E-01	8.91E-01	-0.13	0.34	8.88E-02	
CUE1	YMR264W	YMR264W	ER-associated protein catabolism* || protein binding || YMR264W || 1085855	-0.11	9.34E-01	0.00				8.27E-01	8.05E-01	-0.04	0.19	0.00E+00	yes
VPS25	YJR102C	YJR102C	protein-vacuolar targeting* || molecular function unknown || YJR102C || 1086037	-0.11	9.35E-01	0.00				7.42E-01	7.10E-01	0.20	0.12	0.00E+00	yes
RPL42A	YNL162W	YNL162W	protein biosynthesis || structural constituent of ribosome || YNL162W || 1083669	-0.11	9.35E-01	0.00		down		8.91E-01	8.76E-01	0.27	0.27	6.70E-03	
RER2	YBR002C	YBR002C	ER to Golgi transport* || prenyltransferase activity* || YBR002C || 1086603	-0.11	9.35E-01	0.00				8.51E-01	8.32E-01	0.01	0.21	0.00E+00	yes
MNT3	YIL014W	YIL014W	"protein amino acid O-linked glycosylation || alpha-1,3-mannosyltransferase activity || YIL014W || 1086363"	-0.11	9.37E-01	0.00				8.48E-01	8.28E-01	0.13	0.20	0.00E+00	yes
ABZ1	YNR033W	YNR033W	para-aminobenzoic acid metabolism || 4-amino-4-deoxychorismate synthase activity || YNR033W || 1083378	-0.11	9.37E-01	0.00				8.12E-01	7.87E-01	-0.06	0.17	0.00E+00	yes
VMA6	YLR447C	YLR447C	"vacuolar acidification* || hydrogen-transporting ATPase activity, rotational mechanism || YLR447C || 1082337"	-0.10	9.39E-01	0.00		down		8.85E-01	8.70E-01	0.28	0.25	2.30E-03	
SMF2	YHR050W	YHR050W	"manganese ion transport || di-, tri-valent inorganic cation transporter activity* || YHR050W || 1081332"	-0.10	9.39E-01	0.00				8.73E-01	8.56E-01	-0.50	0.23	4.00E-04	
TIF2	YJL138C	YJL138C	translational initiation* || translation initiation factor activity* || YJL138C || 1085981	-0.10	9.41E-01	0.00		down		7.58E-01	7.27E-01	0.21	0.11	0.00E+00	yes
AEP1	YMR064W	YMR064W	protein biosynthesis || molecular function unknown || YMR064W || 1084016	-0.10	9.41E-01	0.00				8.48E-01	8.28E-01	-0.33	0.17	0.00E+00	yes
BOS1	YLR078C	YLR078C	ER to Golgi transport || v-SNARE activity || YLR078C || 1082293	-0.10	9.43E-01	0.00				8.21E-01	7.98E-01	0.16	0.16	0.00E+00	yes
MSS2	YDL107W	YDL107W	protein complex assembly* || protein translocase activity || YDL107W || 1081149	-0.10	9.44E-01	0.00				9.02E-01	8.89E-01	-0.31	0.27	5.40E-03	
SEC18	YBR080C	YBR080C	ER to Golgi transport* || ATPase activity || YBR080C || 1084303	-0.10	9.44E-01	0.00				8.67E-01	8.48E-01	0.03	0.17	0.00E+00	yes
YCR101C	YCR101C	YCR101C	biological process unknown || molecular function unknown || YCR101C || 1083619	-0.09	9.45E-01	0.00				9.45E-01	9.38E-01	0.25	0.40	3.44E-01	
CAF40	YNL288W	YNL288W	regulation of transcription from RNA polymerase II promoter || molecular function unknown || YNL288W || 1085594	-0.09	9.45E-01	0.00				9.08E-01	8.96E-01	0.11	0.29	1.49E-02	
GBP2	YCL011C	YCL011C	telomere maintenance* || RNA binding* || YCL011C || 1081704	-0.09	9.45E-01	0.00				8.25E-01	8.02E-01	-0.12	0.13	0.00E+00	yes
YEL028W	YEL028W	YEL028W	|| || YEL028W || 1082253	-0.09	9.47E-01	0.00				9.02E-01	8.89E-01	0.30	0.24	1.00E-03	
YPR158W	YPR158W	YPR158W	biological process unknown || molecular function unknown || YPR158W || 1082879	-0.09	9.47E-01	0.00				9.12E-01	9.00E-01	0.19	0.30	2.49E-02	
FCY2	YER056C	YER056C	purine transport* || cytosine-purine permease activity || YER056C || 1082650	-0.09	9.48E-01	0.00				9.57E-01	9.51E-01	-0.24	0.50	8.01E-01	
PYC2	YBR218C	YBR218C	gluconeogenesis* || pyruvate carboxylase activity || YBR218C || 1084140	-0.09	9.47E-01	0.00				9.30E-01	9.21E-01	-0.22	0.37	2.26E-01	
COX17	YLL009C	YLL009C	cytochrome c oxidase complex assembly* || thioredoxin peroxidase activity* || YLL009C || 1083472	-0.09	9.48E-01	0.00				9.40E-01	9.32E-01	-0.89	0.39	2.83E-01	
YLR224W	YLR224W	YLR224W	ubiquitin-dependent protein catabolism || protein binding || YLR224W || 1085818	-0.09	9.48E-01	0.00				8.64E-01	8.46E-01	-0.05	0.18	0.00E+00	yes
YMR266W	YMR266W	YMR266W	biological process unknown || molecular function unknown || YMR266W || 1083989	-0.09	9.49E-01	0.00				9.43E-01	9.35E-01	0.30	0.41	3.94E-01	
NEO1	YIL048W	YIL048W	"retrograde transport, Golgi to ER* || phospholipid-translocating ATPase activity* || YIL048W || 1085976"	-0.09	9.48E-01	0.00				8.88E-01	8.74E-01	0.06	0.18	0.00E+00	yes
MSU1	YMR287C	YMR287C	RNA catabolism || exoribonuclease II activity || YMR287C || 1081878	-0.09	9.48E-01	0.00				8.52E-01	8.33E-01	-0.06	0.17	0.00E+00	yes
TPN1	YGL186C	YGL186C	vitamin transport || vitamin transporter activity || YGL186C || 1085456	-0.09	9.49E-01	0.00				9.22E-01	9.12E-01	0.27	0.34	1.01E-01	
YPR031W	YPR031W	YPR031W	biological process unknown || molecular function unknown || YPR031W || 1084838	-0.09	9.50E-01	0.00				9.07E-01	8.95E-01	0.03	0.26	4.30E-03	
STB1	YNL309W	YNL309W	G1/S transition of mitotic cell cycle || transcriptional activator activity || YNL309W || 1080716	-0.08	9.51E-01	0.00				9.19E-01	9.08E-01	-0.06	0.26	3.40E-03	
YDR444W	YDR444W	YDR444W	biological process unknown || molecular function unknown || YDR444W || 1086380	-0.08	9.52E-01	0.00				8.67E-01	8.49E-01	-0.01	0.17	0.00E+00	yes
SIS2	YKR072C	YKR072C	G1/S transition of mitotic cell cycle* || phosphopantothenoylcysteine decarboxylase activity* || YKR072C || 1081300	-0.08	9.53E-01	0.00				9.33E-01	9.24E-01	-0.38	0.35	1.49E-01	
YER187W	YER187W	YER187W	biological process unknown || molecular function unknown || YER187W || 1083305	-0.08	9.53E-01	0.00				9.48E-01	9.41E-01	0.14	0.45	6.05E-01	
RRN5	YLR141W	YLR141W	transcription from RNA polymerase I promoter || RNA polymerase I transcription factor activity* || YLR141W || 1082404	-0.08	9.54E-01	0.00				9.39E-01	9.31E-01	-0.18	0.34	9.60E-02	
GRX4	YER174C	YER174C	response to oxidative stress || thiol-disulfide exchange intermediate activity || YER174C || 1085486	-0.08	9.54E-01	0.00				9.43E-01	9.35E-01	0.37	0.39	3.22E-01	
BUD20	YLR074C	YLR074C	bud site selection || molecular function unknown || YLR074C || 1085585	-0.08	9.56E-01	0.00		down		9.28E-01	9.18E-01	-0.19	0.28	1.03E-02	
MRP7	YNL005C	YNL005C	protein biosynthesis || structural constituent of ribosome* || YNL005C || 1080655	-0.08	9.56E-01	0.00				8.98E-01	8.84E-01	-0.39	0.21	0.00E+00	yes
KES1	YPL145C	YPL145C	vesicle-mediated transport* || oxysterol binding || YPL145C || 1085343	-0.07	9.57E-01	0.00				9.15E-01	9.03E-01	-0.07	0.24	9.00E-04	
MTR10	YOR160W	YOR160W	protein-nucleus import* || nuclear localization sequence binding || YOR160W || 1086665	-0.07	9.57E-01	0.00				8.86E-01	8.71E-01	0.30	0.16	0.00E+00	yes
HRP1	YOL123W	YOL123W	mRNA polyadenylylation* || RNA binding || YOL123W || 1086678	-0.07	9.58E-01	0.00				9.50E-01	9.44E-01	-0.39	0.26	4.50E-03	
ARP6	YLR085C	YLR085C	protein-vacuolar targeting* || molecular function unknown || YLR085C || 1083400	-0.07	9.58E-01	0.00				8.58E-01	8.39E-01	0.06	0.14	0.00E+00	yes
MCM21	YDR318W	YDR318W	chromosome segregation || protein binding || YDR318W || 1081062	-0.07	9.59E-01	0.00				9.15E-01	9.04E-01	0.12	0.23	5.00E-04	
YLR356W	YLR356W	YLR356W	biological process unknown || molecular function unknown || YLR356W || 1083800	-0.07	9.59E-01	0.00		up		9.42E-01	9.34E-01	-0.23	0.32	5.77E-02	
PPT2	YPL148C	YPL148C	protein-cofactor linkage || phosphopantetheinyltransferase activity || YPL148C || 1081391	-0.07	9.60E-01	0.00				9.43E-01	9.35E-01	0.09	0.34	9.79E-02	
YGL140C	YGL140C	YGL140C	biological process unknown || molecular function unknown || YGL140C || 1083404	-0.07	9.60E-01	0.00				9.31E-01	9.22E-01	0.16	0.28	8.60E-03	
NUP170	YBL079W	YBL079W	mRNA-nucleus export* || structural molecule activity || YBL079W || 1084657	-0.07	9.61E-01	0.00				9.04E-01	8.91E-01	0.05	0.19	0.00E+00	yes
EXO70	YJL085W	YJL085W	cytokinesis* || protein binding || YJL085W || 1082845	-0.06	9.63E-01	0.00				9.12E-01	9.00E-01	0.15	0.20	0.00E+00	yes
LSM6	YDR378C	YDR378C	"nuclear mRNA splicing, via spliceosome* || RNA binding || YDR378C || 1080647"	-0.06	9.64E-01	0.00				9.34E-01	9.25E-01	0.34	0.26	4.20E-03	
KEL2	YGR238C	YGR238C	conjugation with cellular fusion* || molecular function unknown || YGR238C || 1081316	-0.06	9.64E-01	0.00				9.24E-01	9.13E-01	-0.22	0.22	2.00E-04	
YBR013C	YBR013C	YBR013C	biological process unknown || molecular function unknown || YBR013C || 1083710	-0.06	9.65E-01	0.00				9.52E-01	9.46E-01	-0.08	0.32	4.83E-02	
BIG1	YHR101C	YHR101C	cell wall biosynthesis (sensu Fungi) || molecular function unknown || YHR101C || 1084009	-0.06	9.65E-01	0.00				9.20E-01	9.10E-01	0.14	0.20	0.00E+00	yes
FMO1	YHR176W	YHR176W	protein folding || monooxygenase activity || YHR176W || 1082802	-0.06	9.66E-01	0.00				9.84E-01	9.82E-01	0.19	0.92	1.00E+00	
YKL206C	YKL206C	YKL206C	biological process unknown || molecular function unknown || YKL206C || 1086360	-0.06	9.66E-01	0.00				9.30E-01	9.21E-01	0.11	0.20	0.00E+00	yes
RNH70	YGR276C	YGR276C	DNA replication* || 3'-5' exonuclease activity || YGR276C || 1086181	-0.06	9.67E-01	0.00				9.18E-01	9.07E-01	0.00	0.19	0.00E+00	yes
BRE1	YDL074C	YDL074C	chromatin silencing at telomere* || ubiquitin-protein ligase activity || YDL074C || 1081609	-0.06	9.67E-01	0.00				9.30E-01	9.21E-01	0.11	0.23	4.00E-04	
IQG1	YPL242C	YPL242C	actin filament organization* || cytoskeletal protein binding || YPL242C || 1083269	-0.06	9.67E-01	0.00				9.04E-01	8.92E-01	0.07	0.16	0.00E+00	yes
YGR079W	YGR079W	YGR079W	biological process unknown || molecular function unknown || YGR079W || 1081906	-0.06	9.68E-01	0.00				9.65E-01	9.60E-01	0.07	0.44	5.30E-01	
RIM11	YMR139W	YMR139W	protein amino acid phosphorylation* || protein serine/threonine kinase activity* || YMR139W || 1081348	-0.06	9.68E-01	0.00		up		9.21E-01	9.11E-01	-0.13	0.17	0.00E+00	yes
RED1	YLR263W	YLR263W	synaptonemal complex formation || molecular function unknown || YLR263W || 1083060	-0.06	9.68E-01	0.00				9.66E-01	9.61E-01	-0.01	0.34	9.95E-02	
YDR230W	YDR230W	YDR230W	|| || YDR230W || 1084218	-0.05	9.69E-01	0.00				9.45E-01	9.38E-01	-0.04	0.24	1.20E-03	
PIN2	YOR104W	YOR104W	biological process unknown || molecular function unknown || YOR104W || 1081604	-0.05	9.70E-01	0.00				9.43E-01	9.35E-01	0.24	0.22	2.00E-04	
MSH6	YDR097C	YDR097C	mismatch repair || DNA binding* || YDR097C || 1086274	-0.05	9.71E-01	0.00		down		9.42E-01	9.34E-01	0.06	0.26	3.30E-03	
VTH2	YJL222W	YJL222W	Golgi to vacuole transport || signal sequence binding || YJL222W || 1084639	-0.05	9.73E-01	0.00				9.48E-01	9.41E-01	0.22	0.25	1.60E-03	
UTR4	YEL038W	YEL038W	biological process unknown || molecular function unknown || YEL038W || 1081725	-0.05	9.73E-01	0.00				9.28E-01	9.18E-01	0.21	0.18	0.00E+00	yes
HHT1	YBR010W	YBR010W	chromatin assembly or disassembly || DNA binding || YBR010W || 1084122	-0.05	9.74E-01	0.00				9.80E-01	9.76E-01	0.40	0.64	9.81E-01	
MLP2	YIL149C	YIL149C	mRNA-nucleus export* || ribonucleoprotein binding || YIL149C || 1081846	-0.04	9.78E-01	0.00				9.22E-01	9.11E-01	-0.13	0.14	0.00E+00	yes
ORC1	YML065W	YML065W	DNA replication initiation* || ATPase activity* || YML065W || 1081291	-0.04	9.79E-01	0.00				9.68E-01	9.63E-01	-0.07	0.32	5.35E-02	
ISW1	YBR245C	YBR245C	chromatin remodeling || ATPase activity || YBR245C || 1084928	-0.04	9.79E-01	0.00				9.42E-01	9.34E-01	0.02	0.18	0.00E+00	yes
RDI1	YDL135C	YDL135C	actin filament organization* || signal transducer activity* || YDL135C || 1084571	-0.03	9.82E-01	0.00				9.62E-01	9.57E-01	0.37	0.24	8.00E-04	
PIK1	YNL267W	YNL267W	sporulation (sensu Fungi)* || 1-phosphatidylinositol 4-kinase activity || YNL267W || 1085642	-0.03	9.82E-01	0.00				9.39E-01	9.31E-01	0.02	0.15	0.00E+00	yes
SLM3	YDL033C	YDL033C	protein biosynthesis* || tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity || YDL033C || 1083417	-0.03	9.84E-01	0.00				9.72E-01	9.68E-01	-0.39	0.28	9.40E-03	
ERP4	YOR016C	YOR016C	secretory pathway || molecular function unknown || YOR016C || 1085860	-0.03	9.85E-01	0.00				9.58E-01	9.52E-01	-0.02	0.17	0.00E+00	yes
HIR3	YJR140C	YJR140C	G1/S-specific transcription in mitotic cell cycle || transcription corepressor activity || YJR140C || 1081817	-0.03	9.85E-01	0.00				9.49E-01	9.42E-01	0.17	0.14	0.00E+00	yes
SCP1	YOR367W	YOR367W	"actin filament organization* || protein binding, bridging* || YOR367W || 1085247"	-0.03	9.86E-01	0.00				9.56E-01	9.50E-01	0.23	0.17	0.00E+00	yes
YNL122C	YNL122C	YNL122C	biological process unknown || molecular function unknown || YNL122C || 1081303	-0.02	9.86E-01	0.00				9.76E-01	9.72E-01	-0.44	0.27	6.20E-03	
SKG1	YKR100C	YKR100C	cell wall organization and biogenesis || molecular function unknown || YKR100C || 1083831	-0.02	9.87E-01	0.00				9.76E-01	9.71E-01	-0.10	0.21	1.00E-04	
CDC11	YJR076C	YJR076C	cell wall organization and biogenesis* || structural constituent of cytoskeleton* || YJR076C || 1083892	-0.02	9.88E-01	0.00				9.64E-01	9.59E-01	0.12	0.15	0.00E+00	yes
HBS1	YKR084C	YKR084C	protein biosynthesis || molecular function unknown || YKR084C || 1085383	-0.02	9.89E-01	0.00				9.70E-01	9.65E-01	-0.04	0.18	0.00E+00	yes
YLL065W	YLL065W	YLL065W	|| || YLL065W || 1082177	-0.02	9.89E-01	0.00				9.90E-01	9.88E-01	-0.28	0.47	7.03E-01	
