Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
B5RV41	unreviewed	6-O-methylguanine-DNA methyltransferase (DNA repair MTase) (Methylated-DNA--protein-cysteine methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	129	DEHA2G06204g		dha:DEHA2G06204g;	catalytic activity [GO:0003824]; O6-alkylguanine-DNA binding [GO:0032132]; DNA dealkylation involved in DNA repair [GO:0006307]	DNA dealkylation involved in DNA repair [GO:0006307]		catalytic activity [GO:0003824]; O6-alkylguanine-DNA binding [GO:0032132]
B5RT17	unreviewed	DEHA2B01056p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	70	DEHA2B01056g		dha:DEHA2B01056g;				
B5RU69	unreviewed	DEHA2E24222p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	255	DEHA2E24222g		dha:DEHA2E24222g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BK72	unreviewed	DEHA2F24332p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	88	DEHA2F24332g		dha:DEHA2F24332g;	NatC complex [GO:0031417]		NatC complex [GO:0031417]	
Q6BIS4	unreviewed	DEHA2G08030p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1048	DEHA2G08030g		dha:DEHA2G08030g;				
Q6BKC7	unreviewed	DEHA2F23078p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	115	DEHA2F23078g		dha:DEHA2F23078g;				
Q6BV98	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	448	DEHA2C04290g		dha:DEHA2C04290g;	cell division site [GO:0032153]; growing cell tip [GO:0035838]; mitotic spindle pole body [GO:0044732]; nuclear chromosome [GO:0000228]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; linear element assembly [GO:0030999]; meiotic sister chromatid arm separation [GO:0051755]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of ergosterol biosynthetic process [GO:0010895]; negative regulation of transcription by transcription factor catabolism [GO:0010620]; positive regulation of reciprocal meiotic recombination [GO:0010845]; regulation of DNA repair [GO:0006282]; SREBP signaling pathway [GO:0032933]	linear element assembly [GO:0030999]; meiotic sister chromatid arm separation [GO:0051755]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of ergosterol biosynthetic process [GO:0010895]; negative regulation of transcription by transcription factor catabolism [GO:0010620]; positive regulation of reciprocal meiotic recombination [GO:0010845]; regulation of DNA repair [GO:0006282]; SREBP signaling pathway [GO:0032933]	cell division site [GO:0032153]; growing cell tip [GO:0035838]; mitotic spindle pole body [GO:0044732]; nuclear chromosome [GO:0000228]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]
Q6BTI6	unreviewed	DEHA2D00308p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	552	DEHA2D00308g		dha:DEHA2D00308g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BNU3	unreviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	540	DEHA2E18986g		dha:DEHA2E18986g;	chaperonin-containing T-complex [GO:0005832]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	protein folding [GO:0006457]	chaperonin-containing T-complex [GO:0005832]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]
Q6BK27	unreviewed	DEHA2F25388p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	755	DEHA2F25388g		dha:DEHA2F25388g;	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]			ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]
Q6BPE2	unreviewed	DEHA2E14322p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	654	DEHA2E14322g		dha:DEHA2E14322g;				
Q6BVP1	unreviewed	DEHA2C01122p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	229	DEHA2C01122g		dha:DEHA2C01122g;				
Q6BV27	unreviewed	DEHA2C05852p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	156	DEHA2C05852g		dha:DEHA2C05852g;				
Q6BT74	unreviewed	DEHA2D02970p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	293	DEHA2D02970g		dha:DEHA2D02970g;	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	
Q6BQ37	unreviewed	DEHA2E08646p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	592	DEHA2E08646g		dha:DEHA2E08646g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BI39	unreviewed	DEHA2G13662p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	222	DEHA2G13662g		dha:DEHA2G13662g;	transcription export complex [GO:0000346]; ATP-dependent RNA helicase inhibitor activity [GO:1990119]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; negative regulation of RNA helicase activity [GO:1902281]; transcription-coupled nucleotide-excision repair [GO:0006283]	mRNA export from nucleus [GO:0006406]; negative regulation of RNA helicase activity [GO:1902281]; transcription-coupled nucleotide-excision repair [GO:0006283]	transcription export complex [GO:0000346]	ATP-dependent RNA helicase inhibitor activity [GO:1990119]; RNA binding [GO:0003723]
Q6BR83	unreviewed	DEHA2D18436p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	292	DEHA2D18436g		dha:DEHA2D18436g;	integral component of membrane [GO:0016021]; diacylglycerol kinase activity [GO:0004143]		integral component of membrane [GO:0016021]	diacylglycerol kinase activity [GO:0004143]
Q6BU10	unreviewed	DEHA2C14432p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	141	DEHA2C14432g		dha:DEHA2C14432g;				
B5RSY9	unreviewed	DEHA2B06930p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	109	DEHA2B06930g		dha:DEHA2B06930g;				
Q6BGV0	unreviewed	B-related factor 1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	583	DEHA2G23738g		dha:DEHA2G23738g;	nucleus [GO:0005634]; transcription factor TFIIIB complex [GO:0000126]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase III core binding [GO:0000994]; RNA polymerase III general transcription initiation factor activity [GO:0000995]; TBP-class protein binding [GO:0017025]; TFIIIC-class transcription factor complex binding [GO:0001156]; DNA-templated transcription open complex formation [GO:0001112]; RNA polymerase III preinitiation complex assembly [GO:0070898]; transposon integration [GO:0070893]	DNA-templated transcription open complex formation [GO:0001112]; RNA polymerase III preinitiation complex assembly [GO:0070898]; transposon integration [GO:0070893]	nucleus [GO:0005634]; transcription factor TFIIIB complex [GO:0000126]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase III core binding [GO:0000994]; RNA polymerase III general transcription initiation factor activity [GO:0000995]; TBP-class protein binding [GO:0017025]; TFIIIC-class transcription factor complex binding [GO:0001156]
Q6BZ16	unreviewed	DEHA2A05324p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1088	DEHA2A05324g		dha:DEHA2A05324g;	nucleus [GO:0005634]; Smc5-Smc6 complex [GO:0030915]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; double-strand break repair via homologous recombination [GO:0000724]	double-strand break repair via homologous recombination [GO:0000724]	nucleus [GO:0005634]; Smc5-Smc6 complex [GO:0030915]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]
Q6BK82	unreviewed	DEHA2F24090p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	369	DEHA2F24090g		dha:DEHA2F24090g;	metal ion binding [GO:0046872]			metal ion binding [GO:0046872]
B5RTD3	unreviewed	DEHA2C17292p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1456	DEHA2C17292g		dha:DEHA2C17292g;				
Q6BL13	unreviewed	DEHA2F17182p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	420	DEHA2F17182g		dha:DEHA2F17182g;				
Q6BRP3	unreviewed	DEHA2D14872p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	120	DEHA2D14872g		dha:DEHA2D14872g;	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	regulation of transcription by RNA polymerase II [GO:0006357]	mediator complex [GO:0016592]	transcription coregulator activity [GO:0003712]
Q6BKD6	unreviewed	Glutaminyl-tRNA synthetase (EC 6.1.1.18)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	794	DEHA2F22836g		dha:DEHA2F22836g;	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]	glutaminyl-tRNA aminoacylation [GO:0006425]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]
Q6BYZ5	unreviewed	DEHA2A05786p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	250	DEHA2A05786g		dha:DEHA2A05786g;	cytosol [GO:0005829]; N-terminal protein N-methyltransferase activity [GO:0071885]; cytoplasmic translation [GO:0002181]; N-terminal peptidyl-proline dimethylation [GO:0018016]	cytoplasmic translation [GO:0002181]; N-terminal peptidyl-proline dimethylation [GO:0018016]	cytosol [GO:0005829]	N-terminal protein N-methyltransferase activity [GO:0071885]
B5RTE3	unreviewed	DEHA2D07106p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	622	DEHA2D07106g		dha:DEHA2D07106g;	cohesin complex [GO:0008278]; nucleus [GO:0005634]; sister chromatid cohesion [GO:0007062]	sister chromatid cohesion [GO:0007062]	cohesin complex [GO:0008278]; nucleus [GO:0005634]	
Q6BHE3	unreviewed	DEHA2G19294p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	518	DEHA2G19294g		dha:DEHA2G19294g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BNR3	unreviewed	Ribosome assembly factor mrt4	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	232	DEHA2E19580g		dha:DEHA2E19580g;	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]; nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; rRNA processing [GO:0006364]	nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; rRNA processing [GO:0006364]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]	
Q6BY91	unreviewed	DEHA2A11396p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	858	DEHA2A11396g		dha:DEHA2A11396g;				
Q6BTV7	unreviewed	Glutathione synthetase (GSH-S) (EC 6.3.2.3)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	490	DEHA2C15620g		dha:DEHA2C15620g;	glutathione synthase complex [GO:0036087]; ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; cellular detoxification of cadmium ion [GO:0098849]; phytochelatin biosynthetic process [GO:0046938]; phytochelatin-metal complex formation [GO:0090423]	cellular detoxification of cadmium ion [GO:0098849]; phytochelatin biosynthetic process [GO:0046938]; phytochelatin-metal complex formation [GO:0090423]	glutathione synthase complex [GO:0036087]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]
Q6BRJ7	unreviewed	DEHA2D15862p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	699	DEHA2D15862g		dha:DEHA2D15862g;	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
Q6BXB9	unreviewed	DEHA2B04334p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	150	DEHA2B04334g		dha:DEHA2B04334g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BYQ6	unreviewed	DEHA2A07722p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	90	DEHA2A07722g		dha:DEHA2A07722g;				
Q6BUS1	unreviewed	Arp2/3 complex 34 kDa subunit	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	340	DEHA2C08514g		dha:DEHA2C08514g;	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; actin filament binding [GO:0051015]; actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	actin filament binding [GO:0051015]
Q6BK20	unreviewed	ATP synthase subunit d, mitochondrial	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	175	DEHA2F25564g		dha:DEHA2F25564g;	mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
Q6BT98	unreviewed	DEHA2D02398p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	244	DEHA2D02398g		dha:DEHA2D02398g;				
Q6BKW3	unreviewed	Tubulin-specific chaperone A	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	99	DEHA2F18700g		dha:DEHA2F18700g;	cytoplasm [GO:0005737]; microtubule [GO:0005874]; beta-tubulin binding [GO:0048487]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	beta-tubulin binding [GO:0048487]
Q6BU77	unreviewed	DEHA2C13024p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	411	DEHA2C13024g		dha:DEHA2C13024g;	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]		integral component of membrane [GO:0016021]	hydrolase activity [GO:0016787]
Q6BTR4	unreviewed	DEHA2C16500p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	309	DEHA2C16500g		dha:DEHA2C16500g;	FMN binding [GO:0010181]			FMN binding [GO:0010181]
B5RTH0	unreviewed	DEHA2D11352p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	177	DEHA2D11352g		dha:DEHA2D11352g;				
Q6BSV1	unreviewed	DEHA2D05808p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	580	DEHA2D05808g		dha:DEHA2D05808g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BTQ3	unreviewed	DEHA2C16742p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	979	DEHA2C16742g		dha:DEHA2C16742g;	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
B5RSU5	unreviewed	DEHA2A10406p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	569	DEHA2A10406g		dha:DEHA2A10406g;	N-acetyltransferase activity [GO:0008080]			N-acetyltransferase activity [GO:0008080]
Q6BTP4	unreviewed	DEHA2C16940p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	330	DEHA2C16940g		dha:DEHA2C16940g;				
Q6BP11	unreviewed	DEHA2E17424p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	485	DEHA2E17424g		dha:DEHA2E17424g;				
Q6BLF5	unreviewed	DEHA2F13860p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1067	DEHA2F13860g		dha:DEHA2F13860g;	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; structural constituent of nuclear pore [GO:0017056]; mRNA transport [GO:0051028]; protein transport [GO:0015031]	mRNA transport [GO:0051028]; protein transport [GO:0015031]	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]	structural constituent of nuclear pore [GO:0017056]
B5RUM8	unreviewed	O-acyltransferase	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	612	DEHA2F24222g		dha:DEHA2F24222g;	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; O-acyltransferase activity [GO:0008374]		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	O-acyltransferase activity [GO:0008374]
Q6BVY8	unreviewed	DEHA2B15664p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	189	DEHA2B15664g		dha:DEHA2B15664g;				
Q6BJL9	unreviewed	DEHA2G01430p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	883	DEHA2G01430g		dha:DEHA2G01430g;	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]			DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
Q6BN93	unreviewed	Protein disulfide-isomerase (EC 5.3.4.1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	544	DEHA2E23628g		dha:DEHA2E23628g;	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]; protein disulfide oxidoreductase activity [GO:0015035]; unfolded protein binding [GO:0051082]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]; protein folding [GO:0006457]	mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]; protein folding [GO:0006457]	endoplasmic reticulum lumen [GO:0005788]	protein disulfide isomerase activity [GO:0003756]; protein disulfide oxidoreductase activity [GO:0015035]; unfolded protein binding [GO:0051082]
Q6BX86	unreviewed	DEHA2B05082p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	371	DEHA2B05082g		dha:DEHA2B05082g;	oxidoreductase activity [GO:0016491]			oxidoreductase activity [GO:0016491]
B5RT02	unreviewed	DEHA2B13772p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	372	DEHA2B13772g		dha:DEHA2B13772g;	NEDD8-specific protease activity [GO:0019784]			NEDD8-specific protease activity [GO:0019784]
Q6BTR5	unreviewed	Histone H1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	202	DEHA2C16478g		dha:DEHA2C16478g;	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]	nucleosome assembly [GO:0006334]	nucleosome [GO:0000786]; nucleus [GO:0005634]	DNA binding [GO:0003677]
Q6BWZ9	unreviewed	DEHA2B07172p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	799	DEHA2B07172g		dha:DEHA2B07172g;	integral component of membrane [GO:0016021]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; oligopeptide export from mitochondrion [GO:0090374]	oligopeptide export from mitochondrion [GO:0090374]	integral component of membrane [GO:0016021]	ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]
Q6BVV0	unreviewed	DEHA2B16500p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	576	DEHA2B16500g		dha:DEHA2B16500g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
B5RTG8	unreviewed	DEHA2D10824p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	613	DEHA2D10824g		dha:DEHA2D10824g;				
Q6BQW0	unreviewed	DEHA2E01826p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	636	DEHA2E01826g		dha:DEHA2E01826g;	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
Q6BV53	unreviewed	DEHA2C05280p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	543	DEHA2C05280g		dha:DEHA2C05280g;	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
